"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_098s"	"srv_097"	109	"∂L*M"	500	465.916	43.0790500487907	1.92655368630423	3.7851566507976
"srv_098s"	"srv_097"	109	"Adp"	500	558	0	0	0
"srv_098s"	"srv_097"	109	"DL*M+"	500	1104.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098s"	"srv_097"	109	"DL*M"	500	1097.208	71.98308039899	3.21918122003949	6.32481995792718
"srv_098s"	"srv_097c"	100	"∂L*M"	500	520.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098s"	"srv_097c"	100	"Adp"	500	558	0	0	0
"srv_098s"	"srv_097c"	100	"DL*M+"	500	806.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098s"	"srv_097c"	100	"DL*M"	500	792.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098s"	"srv_097e"	87	"∂L*M"	500	520.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098s"	"srv_097e"	87	"Adp"	500	558	0	0	0
"srv_098s"	"srv_097e"	87	"DL*M+"	500	806.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098s"	"srv_097e"	87	"DL*M"	500	792.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098s"	"srv_098f"	51	"∂L*M"	500	522.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098s"	"srv_098f"	51	"Adp"	500	558	0	0	0
"srv_098s"	"srv_098f"	51	"DL*M+"	500	804.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098s"	"srv_098f"	51	"DL*M"	500	791.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098s"	"srv_098l"	26	"∂L*M"	500	479.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098s"	"srv_098l"	26	"Adp"	500	497	0	0	0
"srv_098s"	"srv_098l"	26	"DL*M+"	500	546	0	0	0
"srv_098s"	"srv_098l"	26	"DL*M"	500	546	0	0	0
"srv_098s"	"srv_098m"	22	"∂L*M"	500	479.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098s"	"srv_098m"	22	"Adp"	500	497	0	0	0
"srv_098s"	"srv_098m"	22	"DL*M+"	500	497	0	0	0
"srv_098s"	"srv_098m"	22	"DL*M"	500	497	0	0	0
"srv_098s"	"srv_100"	21	"∂L*M"	500	479.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_098s"	"srv_100"	21	"Adp"	500	497	0	0	0
"srv_098s"	"srv_100"	21	"DL*M+"	500	497	0	0	0
"srv_098s"	"srv_100"	21	"DL*M"	500	497	0	0	0
"srv_098s"	"srv_100f"	0	"∂L*M"	500	478.898	7.25015347774803	0.324236720471022	0.637037414346876
"srv_098s"	"srv_100f"	0	"Adp"	500	497	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M+"	500	497	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M"	500	497	0	0	0
"srv_098u"	"null"	0	"L*M"	73	595	0	0	0
"srv_098u"	"srv_097"	112	"∂L*M"	500	544.77	23.2611104317278	1.04026848314946	2.04384606336192
"srv_098u"	"srv_097"	112	"Adp"	500	668	0	0	0
"srv_098u"	"srv_097"	112	"DL*M+"	500	1214.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098u"	"srv_097"	112	"DL*M"	500	1170.32	75.0442327813903	3.35608011637014	6.59378924314179
"srv_098u"	"srv_097c"	102	"∂L*M"	500	576.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098u"	"srv_097c"	102	"Adp"	500	668	0	0	0
"srv_098u"	"srv_097c"	102	"DL*M+"	500	916.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098u"	"srv_097c"	102	"DL*M"	500	848.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098u"	"srv_097e"	89	"∂L*M"	500	576.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098u"	"srv_097e"	89	"Adp"	500	668	0	0	0
"srv_098u"	"srv_097e"	89	"DL*M+"	500	916.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098u"	"srv_097e"	89	"DL*M"	500	848.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098u"	"srv_098f"	53	"∂L*M"	500	578.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098u"	"srv_098f"	53	"Adp"	500	668	0	0	0
"srv_098u"	"srv_098f"	53	"DL*M+"	500	914.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098u"	"srv_098f"	53	"DL*M"	500	847.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098u"	"srv_098l"	28	"∂L*M"	500	536.172	8.01091539907033	0.358259027886422	0.703882041675131
"srv_098u"	"srv_098l"	28	"Adp"	500	595	0	0	0
"srv_098u"	"srv_098l"	28	"DL*M+"	500	641.06	11.6485095849685	0.520937185370947	1.0235005989567
"srv_098u"	"srv_098l"	28	"DL*M"	500	600.32	6.65629119141055	0.297678391640541	0.584857485118115
"srv_098u"	"srv_098m"	24	"∂L*M"	500	535.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098u"	"srv_098m"	24	"Adp"	500	595	0	0	0
"srv_098u"	"srv_098m"	24	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_098m"	24	"DL*M"	500	553	0	0	0
"srv_098u"	"srv_098s"	2	"∂L*M"	500	534.824	7.00050270167452	0.313071998352303	0.615101756658019
"srv_098u"	"srv_098s"	2	"Adp"	500	595	0	0	0
"srv_098u"	"srv_098s"	2	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_098s"	2	"DL*M"	500	554.77	10.0747258126661	0.450555435435865	0.885219506270099
"srv_098u"	"srv_100"	23	"∂L*M"	500	535.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_098u"	"srv_100"	23	"Adp"	500	595	0	0	0
"srv_098u"	"srv_100"	23	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_100"	23	"DL*M"	500	553	0	0	0
"srv_098u"	"srv_100f"	2	"∂L*M"	500	535.098	7.30528098436474	0.326702097515523	0.641881213086073
"srv_098u"	"srv_100f"	2	"Adp"	500	595	0	0	0
