"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"MQ_Resets_Diff"	"sd"	"se"	"ci"
"srv_100m"	"srv_097c"	557	"DL*M+"	500	413.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100m"	"srv_097c"	557	"DL*M"	500	361.71	10.5084134628884	0.469950536773848	0.92332563191002
"srv_100m"	"srv_097e"	501	"∂L*M"	500	-26.6	19.9614859628157	0.892704790895274	1.75392334014746
"srv_100m"	"srv_097e"	501	"Adp"	500	55	0	0	0
"srv_100m"	"srv_097e"	501	"DL*M+"	500	413.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100m"	"srv_097e"	501	"DL*M"	500	361.836	10.5051330138784	0.469803830634188	0.923037394045592
"srv_100m"	"srv_098f"	347	"∂L*M"	500	-24.016	20.6186809473355	0.922095444092439	1.81166802030426
"srv_100m"	"srv_098f"	347	"Adp"	500	55	0	0	0
"srv_100m"	"srv_098f"	347	"DL*M+"	500	411.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100m"	"srv_098f"	347	"DL*M"	500	361.29	10.5084134628884	0.469950536773848	0.92332563191002
"srv_100m"	"srv_098l"	239	"∂L*M"	500	-53.928	16.2954564158111	0.728754965402774	1.43180629935505
"srv_100m"	"srv_098l"	239	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098l"	239	"DL*M+"	500	144.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_100m"	"srv_098l"	239	"DL*M"	500	117.824	4.83319185290362	0.216146910627813	0.424670188081654
"srv_100m"	"srv_098m"	223	"∂L*M"	500	-51.184	10.5772349789347	0.47302832853773	0.929372659847858
"srv_100m"	"srv_098m"	223	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098m"	223	"DL*M+"	500	98	0	0	0
"srv_100m"	"srv_098m"	223	"DL*M"	500	70	0	0	0
"srv_100m"	"srv_098s"	126	"∂L*M"	500	-53.606	12.0248058575523	0.537765666274491	1.05656400999357
"srv_100m"	"srv_098s"	126	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098s"	126	"DL*M+"	500	96.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_100m"	"srv_098s"	126	"DL*M"	500	69.538	3.08343495833536	0.137895403420742	0.270927151982836
"srv_100m"	"srv_098u"	116	"∂L*M"	500	-63.504	39.1357790570829	1.750205246481	3.43867968802207
"srv_100m"	"srv_098u"	116	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098u"	116	"DL*M+"	500	147	0	0	0
"srv_100m"	"srv_098u"	116	"DL*M"	500	147	0	0	0
"srv_100m"	"srv_098za"	0	"∂L*M"	500	-62.342	40.0278589858361	1.79010027372211	3.51706262059693
"srv_100m"	"srv_098za"	0	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"∂L*M"	500	-51.632	10.1701248211492	0.454821808794951	0.893601775401623
"srv_100m"	"srv_100"	218	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"DL*M+"	500	98	0	0	0
"srv_100m"	"srv_100"	218	"DL*M"	500	70	0	0	0
"srv_100m"	"srv_100f"	126	"∂L*M"	500	-53.116	12.1733695356587	0.544409635939158	1.06961761246657
"srv_100m"	"srv_100f"	126	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100f"	126	"DL*M+"	500	97.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_100m"	"srv_100f"	126	"DL*M"	500	69.58	2.94294441736289	0.131612475424538	0.258582898687236
"srv_100m"	"srv_100h"	116	"∂L*M"	500	-62.328	40.4801395674323	1.81032687622915	3.55680242102234
"srv_100m"	"srv_100h"	116	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100h"	116	"DL*M+"	500	147	0	0	0
"srv_100m"	"srv_100h"	116	"DL*M"	500	147	0	0	0
"srv_100m"	"srv_101"	116	"∂L*M"	500	-62.594	40.1414478522056	1.79518012225589	3.52704314831303
"srv_100m"	"srv_101"	116	"Adp"	500	0	0	0	0
"srv_100m"	"srv_101"	116	"DL*M+"	500	245	0	0	0
"srv_100m"	"srv_101"	116	"DL*M"	500	245	0	0	0
"srv_100m"	"srv_101h"	0	"∂L*M"	500	-59.71	39.4271848578062	1.7632373100701	3.4642841663808
"srv_100m"	"srv_101h"	0	"Adp"	500	0	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M"	500	0	0	0	0
"srv_101"	"null"	0	"L*M"	73	0	0	0	0
"srv_101"	"srv_097"	480	"∂L*M"	500	-86.482	19.8288689563519	0.886773978066764	1.74227089787084
"srv_101"	"srv_097"	480	"Adp"	500	85	0	0	0
"srv_101"	"srv_097"	480	"DL*M+"	500	631.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_101"	"srv_097"	480	"DL*M"	500	545.788	79.353418237477	3.5487927485194	6.97241741554005
"srv_101"	"srv_097c"	441	"∂L*M"	500	-60.098	16.9673857845197	0.758804560292993	1.49084562162313
"srv_101"	"srv_097c"	441	"Adp"	500	85	0	0	0
"srv_101"	"srv_097c"	441	"DL*M+"	500	332.61	27.9642969482091	1.25060137838371	2.45709328452019
"srv_101"	"srv_097c"	441	"DL*M"	500	211.056	14.2363693554519	0.636669792631706	1.25088385393755
"srv_101"	"srv_097e"	385	"∂L*M"	500	-60.8	15.8517682645889	0.708912628063894	1.39282147599946
"srv_101"	"srv_097e"	385	"Adp"	500	85	0	0	0
"srv_101"	"srv_097e"	385	"DL*M+"	500	333.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_101"	"srv_097e"	385	"DL*M"	500	211.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_101"	"srv_098f"	230	"∂L*M"	500	-58.64	16.5196912925394	0.738783053948589	1.45150877965644
"srv_101"	"srv_098f"	230	"Adp"	500	85	0	0	0
"srv_101"	"srv_098f"	230	"DL*M+"	500	331.73	27.9538895304349	1.25013594451144	2.45617883291179
"srv_101"	"srv_098f"	230	"DL*M"	500	210.608	14.231071033676	0.636432844478553	1.25041831493691
"srv_101"	"srv_098l"	122	"∂L*M"	500	-100.156	8.92473898396271	0.39912646099166	0.784175488631216
"srv_101"	"srv_098l"	122	"Adp"	500	0	0	0	0
"srv_101"	"srv_098l"	122	"DL*M+"	500	46.06	11.6485095849685	0.520937185370947	1.0235005989567
"srv_101"	"srv_098l"	122	"DL*M"	500	-36.68	6.65629119141055	0.297678391640541	0.584857485118115
"srv_101"	"srv_098m"	106	"∂L*M"	500	-101.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_101"	"srv_098m"	106	"Adp"	500	0	0	0	0
"srv_101"	"srv_098m"	106	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_098m"	106	"DL*M"	500	-84	0	0	0
"srv_101"	"srv_098s"	10	"∂L*M"	500	-101.912	7.47717006254964	0.334389210783747	0.656984310456005
"srv_101"	"srv_098s"	10	"Adp"	500	0	0	0	0
"srv_101"	"srv_098s"	10	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_098s"	10	"DL*M"	500	-82.29	9.73320968342319	0.435282369827869	0.855212065379587
"srv_101"	"srv_098u"	0	"∂L*M"	500	-86.788	17.90117202643	0.800564750560303	1.57289309481455
"srv_101"	"srv_098u"	0	"Adp"	500	0	0	0	0
"srv_101"	"srv_098u"	0	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_098u"	0	"DL*M"	500	-42	0	0	0
"srv_101"	"srv_100"	102	"∂L*M"	500	-101.724	7.62759361586192	0.341116356596213	0.670201331551217
"srv_101"	"srv_100"	102	"Adp"	500	0	0	0	0
"srv_101"	"srv_100"	102	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_100"	102	"DL*M"	500	-84	0	0	0
"srv_101"	"srv_100f"	10	"∂L*M"	500	-101.662	7.71458265696481	0.345006624780285	0.677844655791288
"srv_101"	"srv_100f"	10	"Adp"	500	0	0	0	0
"srv_101"	"srv_100f"	10	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_100f"	10	"DL*M"	500	-82.632	8.73253057139571	0.390530639464718	0.767287025437548
"srv_101"	"srv_100h"	0	"∂L*M"	500	-85.86	19.0986364914269	0.854116989447773	1.67810875250996
"srv_101"	"srv_100h"	0	"Adp"	500	0	0	0	0
"srv_101"	"srv_100h"	0	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_100h"	0	"DL*M"	500	-42	0	0	0
"srv_101h"	"null"	0	"L*M"	73	0	0	0	0
"srv_101h"	"srv_097"	596	"∂L*M"	500	-64.202	43.4284383153369	1.94217880459499	3.81585577994112
"srv_101h"	"srv_097"	596	"Adp"	500	55	0	0	0
"srv_101h"	"srv_097"	596	"DL*M+"	500	671	98.3623418824562	4.39889765750493	8.64264351564684
"srv_101h"	"srv_097"	596	"DL*M"	500	596.582	72.5849324642634	3.24609686264649	6.37770191203448
"srv_101h"	"srv_097c"	557	"∂L*M"	500	-25.988	21.2017661002932	0.948171804866126	1.86290101272632
"srv_101h"	"srv_097c"	557	"Adp"	500	55	0	0	0
"srv_101h"	"srv_097c"	557	"DL*M+"	500	413.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_101h"	"srv_097c"	557	"DL*M"	500	361.71	10.5084134628884	0.469950536773848	0.92332563191002
"srv_101h"	"srv_097e"	501	"∂L*M"	500	-26.6	19.9614859628157	0.892704790895274	1.75392334014746
"srv_101h"	"srv_097e"	501	"Adp"	500	55	0	0	0
"srv_101h"	"srv_097e"	501	"DL*M+"	500	413.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_101h"	"srv_097e"	501	"DL*M"	500	361.836	10.5051330138784	0.469803830634188	0.923037394045592
"srv_101h"	"srv_098f"	347	"∂L*M"	500	-24.016	20.6186809473355	0.922095444092439	1.81166802030426
"srv_101h"	"srv_098f"	347	"Adp"	500	55	0	0	0
"srv_101h"	"srv_098f"	347	"DL*M+"	500	411.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_101h"	"srv_098f"	347	"DL*M"	500	361.29	10.5084134628884	0.469950536773848	0.92332563191002
"srv_101h"	"srv_098l"	239	"∂L*M"	500	-53.928	16.2954564158111	0.728754965402774	1.43180629935505
"srv_101h"	"srv_098l"	239	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098l"	239	"DL*M+"	500	144.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_101h"	"srv_098l"	239	"DL*M"	500	117.824	4.83319185290362	0.216146910627813	0.424670188081654
"srv_101h"	"srv_098m"	223	"∂L*M"	500	-51.184	10.5772349789347	0.47302832853773	0.929372659847858
"srv_101h"	"srv_098m"	223	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098m"	223	"DL*M+"	500	98	0	0	0
"srv_101h"	"srv_098m"	223	"DL*M"	500	70	0	0	0
"srv_101h"	"srv_098s"	126	"∂L*M"	500	-53.606	12.0248058575523	0.537765666274491	1.05656400999357
"srv_101h"	"srv_098s"	126	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098s"	126	"DL*M+"	500	96.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_101h"	"srv_098s"	126	"DL*M"	500	69.538	3.08343495833536	0.137895403420742	0.270927151982836
"srv_101h"	"srv_098u"	116	"∂L*M"	500	-63.504	39.1357790570829	1.750205246481	3.43867968802207
"srv_101h"	"srv_098u"	116	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098u"	116	"DL*M+"	500	147	0	0	0
"srv_101h"	"srv_098u"	116	"DL*M"	500	147	0	0	0
"srv_101h"	"srv_098za"	0	"∂L*M"	500	-62.342	40.0278589858361	1.79010027372211	3.51706262059693
"srv_101h"	"srv_098za"	0	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098za"	0	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_098za"	0	"DL*M"	500	0	0	0	0
"srv_101h"	"srv_100"	218	"∂L*M"	500	-51.632	10.1701248211492	0.454821808794951	0.893601775401623
"srv_101h"	"srv_100"	218	"Adp"	500	0	0	0	0
"srv_101h"	"srv_100"	218	"DL*M+"	500	98	0	0	0
"srv_101h"	"srv_100"	218	"DL*M"	500	70	0	0	0
"srv_101h"	"srv_100f"	126	"∂L*M"	500	-53.116	12.1733695356587	0.544409635939158	1.06961761246657
"srv_101h"	"srv_100f"	126	"Adp"	500	0	0	0	0
"srv_101h"	"srv_100f"	126	"DL*M+"	500	97.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_101h"	"srv_100f"	126	"DL*M"	500	69.58	2.94294441736289	0.131612475424538	0.258582898687236
"srv_101h"	"srv_100h"	116	"∂L*M"	500	-62.328	40.4801395674323	1.81032687622915	3.55680242102234
"srv_101h"	"srv_100h"	116	"Adp"	500	0	0	0	0
"srv_101h"	"srv_100h"	116	"DL*M+"	500	147	0	0	0
"srv_101h"	"srv_100h"	116	"DL*M"	500	147	0	0	0
"srv_101h"	"srv_100m"	0	"∂L*M"	500	-63.434	40.1704989011081	1.79647932465917	3.52959572945958
"srv_101h"	"srv_100m"	0	"Adp"	500	0	0	0	0
"srv_101h"	"srv_100m"	0	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_100m"	0	"DL*M"	500	0	0	0	0
"srv_101h"	"srv_101"	116	"∂L*M"	500	-62.594	40.1414478522056	1.79518012225589	3.52704314831303
"srv_101h"	"srv_101"	116	"Adp"	500	0	0	0	0
"srv_101h"	"srv_101"	116	"DL*M+"	500	245	0	0	0
"srv_101h"	"srv_101"	116	"DL*M"	500	245	0	0	0
"srv_101k"	"null"	0	"L*M"	73	0	0	0	0
"srv_101k"	"srv_097"	627	"∂L*M"	500	-48.376	36.9918290279037	1.65432488636885	3.25030072649125
"srv_101k"	"srv_097"	627	"Adp"	500	49	0	0	0
"srv_101k"	"srv_097"	627	"DL*M+"	500	679.19	82.550245220544	3.69175919744827	7.25330779967573
"srv_101k"	"srv_097"	627	"DL*M"	500	627.57	64.4182934659568	2.8808736636882	5.66013715877058
"srv_101k"	"srv_097c"	588	"∂L*M"	500	-14.648	11.370429602204	0.508501070478081	0.999066998516988
"srv_101k"	"srv_097c"	588	"Adp"	500	49	0	0	0
"srv_101k"	"srv_097c"	588	"DL*M+"	500	434	0	0	0
"srv_101k"	"srv_097c"	588	"DL*M"	500	400	0	0	0
"srv_101k"	"srv_097e"	532	"∂L*M"	500	-15.056	10.8985513184865	0.487398032088115	0.957605238753079
"srv_101k"	"srv_097e"	532	"Adp"	500	49	0	0	0
"srv_101k"	"srv_097e"	532	"DL*M+"	500	434	0	0	0
"srv_101k"	"srv_097e"	532	"DL*M"	500	400	0	0	0
"srv_101k"	"srv_098f"	378	"∂L*M"	500	-13.356	12.6634113877719	0.56632497380206	1.11267532087924
"srv_101k"	"srv_098f"	378	"Adp"	500	49	0	0	0
"srv_101k"	"srv_098f"	378	"DL*M+"	500	434	0	0	0
"srv_101k"	"srv_098f"	378	"DL*M"	500	400	0	0	0
"srv_101k"	"srv_098l"	270	"∂L*M"	500	-52.752	12.9822792740836	0.580585179194751	1.14069276553578
"srv_101k"	"srv_098l"	270	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098l"	270	"DL*M+"	500	193.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_101k"	"srv_098l"	270	"DL*M"	500	166.824	4.83319185290362	0.216146910627813	0.424670188081654
"srv_101k"	"srv_098m"	254	"∂L*M"	500	-51.184	10.5772349789347	0.47302832853773	0.929372659847858
"srv_101k"	"srv_098m"	254	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098m"	254	"DL*M+"	500	147	0	0	0
"srv_101k"	"srv_098m"	254	"DL*M"	500	119	0	0	0
"srv_101k"	"srv_098s"	157	"∂L*M"	500	-53.144	10.3208674349213	0.461563223424957	0.90684683086203
"srv_101k"	"srv_098s"	157	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098s"	157	"DL*M+"	500	145.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_101k"	"srv_098s"	157	"DL*M"	500	118.538	3.08343495833536	0.137895403420742	0.270927151982836
"srv_101k"	"srv_098u"	147	"∂L*M"	500	-53.256	28.8484128827168	1.29014024497471	2.53477645779787
"srv_101k"	"srv_098u"	147	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098u"	147	"DL*M+"	500	196	0	0	0
"srv_101k"	"srv_098u"	147	"DL*M"	500	196	0	0	0
"srv_101k"	"srv_098za"	31	"∂L*M"	500	-52.136	29.8265779717857	1.33388511762221	2.62072329479343
"srv_101k"	"srv_098za"	31	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098za"	31	"DL*M+"	500	49	0	0	0
"srv_101k"	"srv_098za"	31	"DL*M"	500	49	0	0	0
"srv_101k"	"srv_100"	249	"∂L*M"	500	-51.632	10.1701248211492	0.454821808794951	0.893601775401623
"srv_101k"	"srv_100"	249	"Adp"	500	0	0	0	0
"srv_101k"	"srv_100"	249	"DL*M+"	500	147	0	0	0
"srv_101k"	"srv_100"	249	"DL*M"	500	119	0	0	0
"srv_101k"	"srv_100f"	157	"∂L*M"	500	-52.696	10.6387004796541	0.475777149295322	0.934773348780856
"srv_101k"	"srv_100f"	157	"Adp"	500	0	0	0	0
"srv_101k"	"srv_100f"	157	"DL*M+"	500	146.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_101k"	"srv_100f"	157	"DL*M"	500	118.58	2.94294441736289	0.131612475424538	0.258582898687236
"srv_101k"	"srv_100h"	147	"∂L*M"	500	-51.996	30.3079052764207	1.35541072907402	2.66301529627179
"srv_101k"	"srv_100h"	147	"Adp"	500	0	0	0	0
"srv_101k"	"srv_100h"	147	"DL*M+"	500	196	0	0	0
"srv_101k"	"srv_100h"	147	"DL*M"	500	196	0	0	0
"srv_101k"	"srv_100m"	31	"∂L*M"	500	-52.64	30.0449629655155	1.34365159144713	2.63991177296355
"srv_101k"	"srv_100m"	31	"Adp"	500	0	0	0	0
"srv_101k"	"srv_100m"	31	"DL*M+"	500	49	0	0	0
"srv_101k"	"srv_100m"	31	"DL*M"	500	49	0	0	0
"srv_101k"	"srv_101"	147	"∂L*M"	500	-52.178	29.9748444299081	1.34051579520511	2.63375078192271
"srv_101k"	"srv_101"	147	"Adp"	500	0	0	0	0
"srv_101k"	"srv_101"	147	"DL*M+"	500	294	0	0	0
"srv_101k"	"srv_101"	147	"DL*M"	500	294	0	0	0
"srv_101k"	"srv_101h"	31	"∂L*M"	500	-50.218	29.2786775301726	1.30938226497523	2.57258182003486
"srv_101k"	"srv_101h"	31	"Adp"	500	0	0	0	0
"srv_101k"	"srv_101h"	31	"DL*M+"	500	49	0	0	0
"srv_101k"	"srv_101h"	31	"DL*M"	500	49	0	0	0
"srv_102"	"null"	0	"L*M"	73	0	0	0	0
"srv_102"	"srv_097"	629	"∂L*M"	500	-12.83	34.7020108800374	1.55192110567402	3.04910500881186
"srv_102"	"srv_097"	629	"Adp"	500	43	0	0	0
"srv_102"	"srv_097"	629	"DL*M+"	500	673.19	82.550245220544	3.69175919744827	7.25330779967573
"srv_102"	"srv_097"	629	"DL*M"	500	653.14	61.91703997834	2.76901420714281	5.44036359683595
"srv_102"	"srv_097c"	590	"∂L*M"	500	18.584	9.36388320181507	0.418765587452538	0.822761057602226
"srv_102"	"srv_097c"	590	"Adp"	500	43	0	0	0
"srv_102"	"srv_097c"	590	"DL*M+"	500	428	0	0	0
"srv_102"	"srv_097c"	590	"DL*M"	500	428	0	0	0
"srv_102"	"srv_097e"	534	"∂L*M"	500	18.248	8.97527755640063	0.4013866146608	0.788616078973124
"srv_102"	"srv_097e"	534	"Adp"	500	43	0	0	0
"srv_102"	"srv_097e"	534	"DL*M+"	500	428	0	0	0
"srv_102"	"srv_097e"	534	"DL*M"	500	428	0	0	0
"srv_102"	"srv_098f"	380	"∂L*M"	500	19.648	10.4286917311063	0.466385272542873	0.916320852488786
"srv_102"	"srv_098f"	380	"Adp"	500	43	0	0	0
"srv_102"	"srv_098f"	380	"DL*M+"	500	428	0	0	0
"srv_102"	"srv_098f"	380	"DL*M"	500	428	0	0	0
"srv_102"	"srv_098l"	272	"∂L*M"	500	-17.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_102"	"srv_098l"	272	"Adp"	500	0	0	0	0
"srv_102"	"srv_098l"	272	"DL*M+"	500	196	0	0	0
"srv_102"	"srv_098l"	272	"DL*M"	500	196	0	0	0
"srv_102"	"srv_098m"	256	"∂L*M"	500	-17.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_102"	"srv_098m"	256	"Adp"	500	0	0	0	0
"srv_102"	"srv_098m"	256	"DL*M+"	500	147	0	0	0
"srv_102"	"srv_098m"	256	"DL*M"	500	147	0	0	0
"srv_102"	"srv_098s"	159	"∂L*M"	500	-18.396	6.92814422228128	0.309836028778867	0.608743952128747
"srv_102"	"srv_098s"	159	"Adp"	500	0	0	0	0
"srv_102"	"srv_098s"	159	"DL*M+"	500	147	0	0	0
"srv_102"	"srv_098s"	159	"DL*M"	500	147	0	0	0
"srv_102"	"srv_098u"	149	"∂L*M"	500	-43.504	24.9655872170109	1.11649500230873	2.19361054592682
"srv_102"	"srv_098u"	149	"Adp"	500	0	0	0	0
"srv_102"	"srv_098u"	149	"DL*M+"	500	320.264	73.5524181821433	3.28936413929528	6.46271040213435
"srv_102"	"srv_098u"	149	"DL*M"	500	308.216	61.7877398323257	2.76323172882304	5.42900259172834
"srv_102"	"srv_098za"	33	"∂L*M"	500	-42.592	24.7890000816915	1.1085977855382	2.17809465203077
"srv_102"	"srv_098za"	33	"Adp"	500	0	0	0	0
"srv_102"	"srv_098za"	33	"DL*M+"	500	173.558	73.5447639237574	3.28902183045391	6.46203785789293
"srv_102"	"srv_098za"	33	"DL*M"	500	162.212	62.5051745833847	2.79531638627881	5.49204026123146
"srv_102"	"srv_100"	251	"∂L*M"	500	-17.724	7.62759361586192	0.341116356596213	0.670201331551217
"srv_102"	"srv_100"	251	"Adp"	500	0	0	0	0
"srv_102"	"srv_100"	251	"DL*M+"	500	147	0	0	0
"srv_102"	"srv_100"	251	"DL*M"	500	147	0	0	0
"srv_102"	"srv_100f"	159	"∂L*M"	500	-18.102	7.25015347774803	0.324236720471022	0.637037414346876
"srv_102"	"srv_100f"	159	"Adp"	500	0	0	0	0
"srv_102"	"srv_100f"	159	"DL*M+"	500	147	0	0	0
"srv_102"	"srv_100f"	159	"DL*M"	500	147	0	0	0
"srv_102"	"srv_100h"	149	"∂L*M"	500	-41.828	24.661199596351	1.10288237408262	2.16686541516241
"srv_102"	"srv_100h"	149	"Adp"	500	0	0	0	0
"srv_102"	"srv_100h"	149	"DL*M+"	500	319.676	73.5641924091444	3.28989069873442	6.46374494894054
"srv_102"	"srv_100h"	149	"DL*M"	500	307.756	61.8293960218345	2.76509465025154	5.43266272821203
"srv_102"	"srv_100m"	33	"∂L*M"	500	-40.184	25.2124866478087	1.12753668052612	2.21530445564637
"srv_102"	"srv_100m"	33	"Adp"	500	0	0	0	0
"srv_102"	"srv_100m"	33	"DL*M+"	500	169.442	73.5447639237574	3.28902183045391	6.46203785789293
"srv_102"	"srv_100m"	33	"DL*M"	500	158.804	62.5974957722264	2.79944511535908	5.50015209660291
"srv_102"	"srv_101"	149	"∂L*M"	500	-41.594	24.9903621502531	1.11760297100607	2.19578740459079
"srv_102"	"srv_101"	149	"Adp"	500	0	0	0	0
"srv_102"	"srv_101"	149	"DL*M+"	500	417.088	73.5712560408674	3.29020659394843	6.46436559755197
"srv_102"	"srv_101"	149	"DL*M"	500	405.324	61.8944656148471	2.76800465091643	5.43838009204613
"srv_102"	"srv_101h"	33	"∂L*M"	500	-44.21	25.1124505044944	1.12306292819297	2.20651474294942
"srv_102"	"srv_101h"	33	"Adp"	500	0	0	0	0
"srv_102"	"srv_101h"	33	"DL*M+"	500	178.556	73.2337984982683	3.275115033853	6.43471476587663
"srv_102"	"srv_101h"	33	"DL*M"	500	166.464	62.2453023072315	2.78369454477988	5.46920648766113
"srv_102"	"srv_101k"	2	"∂L*M"	500	-42.434	24.858187846382	1.11169195643938	2.18417386054106
"srv_102"	"srv_101k"	2	"Adp"	500	0	0	0	0
"srv_102"	"srv_101k"	2	"DL*M+"	500	125.146	73.5259192775665	3.28817907225602	6.46038206609203
"srv_102"	"srv_101k"	2	"DL*M"	500	113.708	62.4856114579873	2.79444149671399	5.4903213399896
"srv_110pre1"	"null"	0	"L*M"	73	0	0	0	0
"srv_110pre1"	"srv_097"	675	"∂L*M"	500	-24.386	35.4454194434068	1.58516734732901	3.11442487693129
"srv_110pre1"	"srv_097"	675	"Adp"	500	37	0	0	0
"srv_110pre1"	"srv_097"	675	"DL*M+"	500	723.456	84.5152632572773	3.77963747559125	7.42596483557264
"srv_110pre1"	"srv_097"	675	"DL*M"	500	687.826	47.6008761560294	2.12877589746861	4.18246857258277
"srv_110pre1"	"srv_097c"	636	"∂L*M"	500	7.352	11.370429602204	0.508501070478081	0.999066998516988
"srv_110pre1"	"srv_097c"	636	"Adp"	500	37	0	0	0
"srv_110pre1"	"srv_097c"	636	"DL*M+"	500	477	0	0	0
"srv_110pre1"	"srv_097c"	636	"DL*M"	500	477	0	0	0
"srv_110pre1"	"srv_097e"	580	"∂L*M"	500	6.944	10.8985513184865	0.487398032088115	0.957605238753079
"srv_110pre1"	"srv_097e"	580	"Adp"	500	37	0	0	0
"srv_110pre1"	"srv_097e"	580	"DL*M+"	500	477	0	0	0
"srv_110pre1"	"srv_097e"	580	"DL*M"	500	477	0	0	0
"srv_110pre1"	"srv_098f"	426	"∂L*M"	500	8.644	12.6634113877719	0.56632497380206	1.11267532087924
"srv_110pre1"	"srv_098f"	426	"Adp"	500	37	0	0	0
"srv_110pre1"	"srv_098f"	426	"DL*M+"	500	477	0	0	0
"srv_110pre1"	"srv_098f"	426	"DL*M"	500	477	0	0	0
"srv_110pre1"	"srv_098l"	318	"∂L*M"	500	-23.184	10.5772349789347	0.47302832853773	0.929372659847858
"srv_110pre1"	"srv_098l"	318	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098l"	318	"DL*M+"	500	245	0	0	0
"srv_110pre1"	"srv_098l"	318	"DL*M"	500	245	0	0	0
"srv_110pre1"	"srv_098m"	302	"∂L*M"	500	-23.184	10.5772349789347	0.47302832853773	0.929372659847858
"srv_110pre1"	"srv_098m"	302	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098m"	302	"DL*M+"	500	196	0	0	0
"srv_110pre1"	"srv_098m"	302	"DL*M"	500	196	0	0	0
"srv_110pre1"	"srv_098s"	205	"∂L*M"	500	-24.528	9.23752562970837	0.413114705038489	0.81165860283833
"srv_110pre1"	"srv_098s"	205	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098s"	205	"DL*M+"	500	196	0	0	0
"srv_110pre1"	"srv_098s"	205	"DL*M"	500	196	0	0	0
"srv_110pre1"	"srv_098u"	195	"∂L*M"	500	-49.656	25.1136427884968	1.12311624875452	2.20661950342385
"srv_110pre1"	"srv_098u"	195	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098u"	195	"DL*M+"	500	370.348	75.2512085269701	3.36533635310634	6.61197524350735
"srv_110pre1"	"srv_098u"	195	"DL*M"	500	342.104	47.5096992945031	2.12469834426165	4.17445728395375
"srv_110pre1"	"srv_098za"	79	"∂L*M"	500	-48.686	25.0401562064954	1.11982982889874	2.20016257774207
"srv_110pre1"	"srv_098za"	79	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098za"	79	"DL*M+"	500	223.286	74.6921014836783	3.34033232599635	6.5628490965513
