"EqO"	"SUL"	"Method"	"Reused"	"EQs"	"MQs"	"TQs"	"Rounds"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"WpMethodHypEQOracle"	"cli_098m"	"L*M"	"null"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098za"	"L*M"	"null"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_100m"	"L*M"	"null"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"L*M"	"null"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"L*M"	"null"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_102"	"L*M"	"null"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_110-pre1"	"L*M"	"null"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098m"	"Adp"	"cli_098j"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098m"	"DL*M"	"cli_098j"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_098m"	"DL*M+"	"cli_098j"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_098m"	"∂L*M"	"cli_098j"	0	436	436	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098m"	"Adp"	"cli_098l"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098m"	"DL*M"	"cli_098l"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_098m"	"DL*M+"	"cli_098l"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_098m"	"∂L*M"	"cli_098l"	0	436	436	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098za"	"Adp"	"cli_098j"	0	456	456	1	"null"	"null"	"null"	"null"
