"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"MQ_Resets_Diff"	"sd"	"se"	"ci"
"srv_097"	"null"	0	"L*M"	73	0	0	0	0
"srv_097c"	"null"	0	"L*M"	73	0	0	0	0
"srv_097c"	"srv_097"	9	"∂L*M"	500	-90.436	39.030817483456	1.7455112222079	3.4294572005707
"srv_097c"	"srv_097"	9	"Adp"	500	0	0	0	0
"srv_097c"	"srv_097"	9	"DL*M+"	500	446.468	143.937601209983	6.43708521647557	12.6471305171019
"srv_097c"	"srv_097"	9	"DL*M"	500	455.49	153.517847036484	6.86552683465988	13.4889023566709
"srv_097e"	"null"	0	"L*M"	73	0	0	0	0
"srv_097e"	"srv_097"	22	"∂L*M"	500	-68.778	18.3395035587543	0.82016753261948	1.61140725687135
"srv_097e"	"srv_097"	22	"Adp"	500	0	0	0	0
"srv_097e"	"srv_097"	22	"DL*M+"	500	448.596	145.869065784029	6.52346293814955	12.8168393656013
"srv_097e"	"srv_097"	22	"DL*M"	500	440.592	137.837280035319	6.16427055985298	12.1111235429433
"srv_097e"	"srv_097c"	13	"∂L*M"	500	-75.348	8.73013898247368	0.39042368435664	0.767076887593191
"srv_097e"	"srv_097c"	13	"Adp"	500	0	0	0	0
"srv_097e"	"srv_097c"	13	"DL*M+"	500	3	0	0	0
"srv_097e"	"srv_097c"	13	"DL*M"	500	22.89	19.515625002507	0.872765282580004	1.71474760211861
"srv_098f"	"null"	0	"L*M"	73	0	0	0	0
"srv_098f"	"srv_097"	58	"∂L*M"	500	-68.778	18.3395035587543	0.82016753261948	1.61140725687135
"srv_098f"	"srv_097"	58	"Adp"	500	0	0	0	0
"srv_098f"	"srv_097"	58	"DL*M+"	500	448.596	145.869065784029	6.52346293814955	12.8168393656013
"srv_098f"	"srv_097"	58	"DL*M"	500	440.592	137.837280035319	6.16427055985298	12.1111235429433
"srv_098f"	"srv_097c"	49	"∂L*M"	500	-75.348	8.73013898247368	0.39042368435664	0.767076887593191
"srv_098f"	"srv_097c"	49	"Adp"	500	0	0	0	0
"srv_098f"	"srv_097c"	49	"DL*M+"	500	3	0	0	0
"srv_098f"	"srv_097c"	49	"DL*M"	500	22.89	19.515625002507	0.872765282580004	1.71474760211861
"srv_098f"	"srv_097e"	36	"∂L*M"	500	-75.6	8.21943539645351	0.36758432566276	0.722203728296014
"srv_098f"	"srv_097e"	36	"Adp"	500	0	0	0	0
"srv_098f"	"srv_097e"	36	"DL*M+"	500	3	0	0	0
"srv_098f"	"srv_097e"	36	"DL*M"	500	23.124	19.5095327400599	0.872492828320635	1.71421230322753
"srv_098l"	"null"	0	"L*M"	73	0	0	0	0
"srv_098l"	"srv_097"	83	"∂L*M"	500	-38.692	55.9937472890585	2.50411650506559	4.91991129595973
"srv_098l"	"srv_097"	83	"Adp"	500	67	0	0	0
"srv_098l"	"srv_097"	83	"DL*M+"	500	585.65	131.731293804984	5.89120255423883	11.5746188065748
"srv_098l"	"srv_097"	83	"DL*M"	500	570.66	83.7719037847861	3.74639342934707	7.36064928084135
"srv_098l"	"srv_097c"	74	"∂L*M"	500	29.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098l"	"srv_097c"	74	"Adp"	500	67	0	0	0
"srv_098l"	"srv_097c"	74	"DL*M+"	500	260.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098l"	"srv_097c"	74	"DL*M"	500	246.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098l"	"srv_097e"	61	"∂L*M"	500	29.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098l"	"srv_097e"	61	"Adp"	500	67	0	0	0
"srv_098l"	"srv_097e"	61	"DL*M+"	500	260.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098l"	"srv_097e"	61	"DL*M"	500	246.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098l"	"srv_098f"	25	"∂L*M"	500	31.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098l"	"srv_098f"	25	"Adp"	500	67	0	0	0
"srv_098l"	"srv_098f"	25	"DL*M+"	500	258.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098l"	"srv_098f"	25	"DL*M"	500	245.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098m"	"null"	0	"L*M"	73	0	0	0	0
"srv_098m"	"srv_097"	87	"∂L*M"	500	-12.278	26.0262838473303	1.1639307976867	2.28680904729081
"srv_098m"	"srv_097"	87	"Adp"	500	61	0	0	0
"srv_098m"	"srv_097"	87	"DL*M+"	500	607.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098m"	"srv_097"	87	"DL*M"	500	605.488	71.9784666084977	3.21897488505599	6.32441456552072
"srv_098m"	"srv_097c"	78	"∂L*M"	500	23.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098m"	"srv_097c"	78	"Adp"	500	61	0	0	0
"srv_098m"	"srv_097c"	78	"DL*M+"	500	309.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098m"	"srv_097c"	78	"DL*M"	500	295.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098m"	"srv_097e"	64	"∂L*M"	500	23.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098m"	"srv_097e"	64	"Adp"	500	61	0	0	0
"srv_098m"	"srv_097e"	64	"DL*M+"	500	309.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098m"	"srv_097e"	64	"DL*M"	500	295.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098m"	"srv_098f"	28	"∂L*M"	500	25.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098m"	"srv_098f"	28	"Adp"	500	61	0	0	0
"srv_098m"	"srv_098f"	28	"DL*M+"	500	307.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098m"	"srv_098f"	28	"DL*M"	500	294.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098m"	"srv_098l"	3	"∂L*M"	500	-17.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098m"	"srv_098l"	3	"Adp"	500	0	0	0	0
"srv_098m"	"srv_098l"	3	"DL*M+"	500	49	0	0	0
"srv_098m"	"srv_098l"	3	"DL*M"	500	49	0	0	0
"srv_098s"	"null"	0	"L*M"	73	0	0	0	0
"srv_098s"	"srv_097"	109	"∂L*M"	500	-31.084	43.0790500487907	1.92655368630423	3.7851566507976
"srv_098s"	"srv_097"	109	"Adp"	500	61	0	0	0
"srv_098s"	"srv_097"	109	"DL*M+"	500	607.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098s"	"srv_097"	109	"DL*M"	500	600.208	71.98308039899	3.21918122003949	6.32481995792718
"srv_098s"	"srv_097c"	100	"∂L*M"	500	23.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098s"	"srv_097c"	100	"Adp"	500	61	0	0	0
"srv_098s"	"srv_097c"	100	"DL*M+"	500	309.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098s"	"srv_097c"	100	"DL*M"	500	295.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098s"	"srv_097e"	87	"∂L*M"	500	23.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098s"	"srv_097e"	87	"Adp"	500	61	0	0	0
"srv_098s"	"srv_097e"	87	"DL*M+"	500	309.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098s"	"srv_097e"	87	"DL*M"	500	295.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098s"	"srv_098f"	51	"∂L*M"	500	25.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098s"	"srv_098f"	51	"Adp"	500	61	0	0	0
"srv_098s"	"srv_098f"	51	"DL*M+"	500	307.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098s"	"srv_098f"	51	"DL*M"	500	294.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098s"	"srv_098l"	26	"∂L*M"	500	-17.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098s"	"srv_098l"	26	"Adp"	500	0	0	0	0
"srv_098s"	"srv_098l"	26	"DL*M+"	500	49	0	0	0
"srv_098s"	"srv_098l"	26	"DL*M"	500	49	0	0	0
"srv_098s"	"srv_098m"	22	"∂L*M"	500	-17.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098s"	"srv_098m"	22	"Adp"	500	0	0	0	0
"srv_098s"	"srv_098m"	22	"DL*M+"	500	0	0	0	0
"srv_098s"	"srv_098m"	22	"DL*M"	500	0	0	0	0
"srv_098s"	"srv_100"	21	"∂L*M"	500	-17.724	7.62759361586192	0.341116356596213	0.670201331551217
"srv_098s"	"srv_100"	21	"Adp"	500	0	0	0	0
"srv_098s"	"srv_100"	21	"DL*M+"	500	0	0	0	0
"srv_098s"	"srv_100"	21	"DL*M"	500	0	0	0	0
"srv_098s"	"srv_100f"	0	"∂L*M"	500	-18.102	7.25015347774803	0.324236720471022	0.637037414346876
"srv_098s"	"srv_100f"	0	"Adp"	500	0	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M+"	500	0	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M"	500	0	0	0	0
"srv_098u"	"null"	0	"L*M"	73	0	0	0	0
"srv_098u"	"srv_097"	112	"∂L*M"	500	-50.23	23.2611104317278	1.04026848314946	2.04384606336192
"srv_098u"	"srv_097"	112	"Adp"	500	73	0	0	0
"srv_098u"	"srv_097"	112	"DL*M+"	500	619.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098u"	"srv_097"	112	"DL*M"	500	575.32	75.0442327813903	3.35608011637014	6.59378924314179
"srv_098u"	"srv_097c"	102	"∂L*M"	500	-18.314	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098u"	"srv_097c"	102	"Adp"	500	73	0	0	0
"srv_098u"	"srv_097c"	102	"DL*M+"	500	321.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098u"	"srv_097c"	102	"DL*M"	500	253.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098u"	"srv_097e"	89	"∂L*M"	500	-18.8	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098u"	"srv_097e"	89	"Adp"	500	73	0	0	0
"srv_098u"	"srv_097e"	89	"DL*M+"	500	321.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098u"	"srv_097e"	89	"DL*M"	500	253.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098u"	"srv_098f"	53	"∂L*M"	500	-16.748	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098u"	"srv_098f"	53	"Adp"	500	73	0	0	0
"srv_098u"	"srv_098f"	53	"DL*M+"	500	319.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098u"	"srv_098f"	53	"DL*M"	500	252.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098u"	"srv_098l"	28	"∂L*M"	500	-58.828	8.01091539907033	0.358259027886422	0.703882041675131
"srv_098u"	"srv_098l"	28	"Adp"	500	0	0	0	0
"srv_098u"	"srv_098l"	28	"DL*M+"	500	46.06	11.6485095849685	0.520937185370947	1.0235005989567
"srv_098u"	"srv_098l"	28	"DL*M"	500	5.32	6.65629119141055	0.297678391640541	0.584857485118115
"srv_098u"	"srv_098m"	24	"∂L*M"	500	-59.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098u"	"srv_098m"	24	"Adp"	500	0	0	0	0
